stoties_kodas,ilguma,platuma,oro_temp,juntamoji_temp,debesuotumas,slegis_juros_lyg,santyk_oro_dregme,kritutliu_kiekis,year,month
akmenes-ams,22.73081,56.24992,17.08701923076923,,,,79.44711538461539,21.7,2024,09
alytaus-ams,24.063274,54.412435,18.020673076923078,,,,70.16185897435898,47.6,2024,09
anyksciu-ams,25.1178,55.51735,17.504326923076924,,,1018.5647435897437,71.87339743589743,43.9,2024,09
birstono-ams,24.035802,54.603217,17.72051282051282,,,,77.32371794871794,49.4,2024,09
birzu-ams,24.774184,56.193191,17.345192307692308,17.29535256410256,30.795751633986928,1018.7200320512821,76.49358974358974,40.7,2024,09
dotnuvos-ams,23.866224,55.395993,17.974999999999998,17.932051282051283,27.616776315789473,1018.4416666666666,70.45673076923077,43.9,2024,09
druskininku-ams,23.980791,54.018202,17.827884615384615,,,,73.90865384615384,16.4,2024,09
duksto-ams,26.31614,55.517856,16.79150641025641,16.754166666666666,27.616504854368934,1019.1604166666666,76.51442307692308,31.8,2024,09
elektrenu-ams,24.689854,54.786161,18.224999999999998,,,,67.0673076923077,23.6,2024,09
jonavos-ams,24.277147,55.06913,18.087179487179487,,,,71.21474358974359,40.0,2024,09
joniskio-ams,23.630755,56.246354,17.06522435897436,,,,76.8525641025641,31.7,2024,09
jurbarko-ams,22.773518,55.094064,17.874478330658103,,,,71.67897271268058,24.9,2024,09
kaisiadoriu-ams,24.437842,54.856942,17.41217948717949,,,,76.30929487179488,33.9,2024,09
kalvarijos-ams,23.216806,54.421564,17.56342668863262,,,,71.13531353135313,21.6,2024,09
kauno-ams,23.83588,54.88396,18.04198717948718,17.995673076923076,28.35426731078905,1018.0341346153847,71.6298076923077,40.199999999999996,2024,09
kazlu-rudos-ams,23.514815,54.699852,17.16730769230769,,,,74.57852564102564,21.4,2024,09
kelmes-ams,22.934568,55.629044,17.3849358974359,,,,73.46955128205128,24.3,2024,09
klaipedos-ams,21.09157,55.73135,18.31330128205128,18.288621794871794,36.44193548387097,1017.1290064102565,73.63301282051282,43.2,2024,09
kretingos-ams,21.27306,55.894089,17.4275641025641,,,,75.9198717948718,78.7,2024,09
kupiskio-ams,24.909266,55.851591,17.338621794871795,,,,73.5576923076923,35.7,2024,09
kybartu-ams,22.783011,54.633167,17.92339743589744,17.86971153846154,23.42174629324547,1017.481891025641,71.08814102564102,25.5,2024,09
laukuvos-ams,22.239463,55.60886,16.917788461538464,16.89807692307692,29.74496644295302,1017.76875,77.37339743589743,21.7,2024,09
lazdiju-ams,23.51068,54.23221,17.765064102564104,17.700320512820515,28.542763157894736,1017.8392628205128,67.42948717948718,22.0,2024,09
marijampoles-ams,23.35181,54.528855,17.93445512820513,17.868429487179487,,,69.20673076923077,20.8,2024,09
mazeikiu-ams,22.317683,56.353885,16.67948717948718,16.658173076923077,,1017.8823717948718,78.13621794871794,43.5,2024,09
moletu-ams,25.416378,55.235244,17.18253205128205,,,,74.88301282051282,25.9,2024,09
nidos-ams,21.00736,55.30221,18.981570512820515,18.998076923076923,32.67845659163987,1016.963141025641,80.76282051282051,45.800000000000004,2024,09
pagegiu-ams,21.950386,55.140898,18.111057692307693,,,,72.15705128205128,26.3,2024,09
pakruojo-ams,23.902854,56.083488,17.07067307692308,,,,77.82211538461539,39.0,2024,09
panevezio-ams,24.417184,55.735154,17.523397435897436,17.479647435897434,29.25124792013311,1018.4708333333334,74.39102564102564,76.1,2024,09
plunges-ams,21.866687,55.907014,16.962500000000002,,,,75.3349358974359,32.6,2024,09
prienu-ams,24.0525,54.7291,18.07964743589744,,,,68.03685897435898,44.9,2024,09
raseiniu-ams,23.133073,55.394569,17.55945512820513,17.511858974358972,30.275409836065574,1017.8116987179487,71.00320512820512,22.7,2024,09
rietavo-ams,21.958142,55.718091,17.05128205128205,,,,76.15865384615384,24.4,2024,09
rokiskio-ams,25.59149,55.95498,17.708653846153847,17.65224358974359,,1019.1019230769231,70.25,29.400000000000002,2024,09
sakiu-ams,23.036425,54.94907,17.982211538461538,,,,71.23076923076923,21.7,2024,09
salcininku-ams,25.374422,54.31038,16.92932692307692,,,,74.59455128205128,31.2,2024,09
seduvos-ams,23.74245,55.75466,17.054006410256413,,,,74.18429487179488,29.8,2024,09
siauliu-ams,23.331111,55.942222,17.16426282051282,17.13445512820513,66.33223140495868,1018.2953525641026,76.61538461538461,32.7,2024,09
silutes-ams,21.446944,55.352222,18.014743589743592,18.00673076923077,31.901639344262296,1017.3304487179487,73.57051282051282,35.1,2024,09
skuodo-ams,21.513962,56.277213,16.39951845906902,,,,81.97431781701445,56.9,2024,09
svencioniu-ams,26.172895,55.132777,17.601442307692306,17.544871794871796,,1019.3011217948718,68.22916666666667,55.8,2024,09
taurages-ams,22.27802,55.256786,18.18573717948718,18.147596153846155,,1017.536858974359,70.3349358974359,19.1,2024,09
telsiu-ams,22.256657,55.991245,17.114903846153847,17.084935897435898,34.486301369863014,1017.3533653846154,74.19871794871794,23.5,2024,09
traku-ams,24.785292,54.615924,17.783653846153847,,,,69.8573717948718,25.3,2024,09
ukmerges-ams,24.760335,55.264145,17.75272435897436,17.69567307692308,28.20358306188925,1018.5556089743588,72.36858974358974,26.0,2024,09
utenos-ams,25.589692,55.515321,16.53397435897436,16.502403846153847,31.845394736842106,1019.1155448717948,79.10096153846153,27.0,2024,09
varenos-ams,24.55176,54.248271,16.97275641025641,16.91602564102564,28.639871382636656,1018.2666666666667,74.0,27.7,2024,09
ventes-ams,21.189682,55.340853,18.70048076923077,18.697115384615383,,,71.41666666666667,31.5,2024,09
